Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5501212,2018-06-01 00:02:52,2017-05-03 11:18:54,16302216,2421490457,16302216,148,1033,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/501/SRR5501212.sralite.1,SRX2780664,#174-12-26 L004,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106335,PRJNA385301,,385301,SRS2163745,SAMN06886168,simple,51351,Brassica rapa subsp. pekinensis,#174-12-26,,,,,,,no,,,,,NIIGATA UNIVERSITY,SRA559392,,public,E459C96FBB709130130C45AB673C0BA9,7DE7A5B5EC4680C3D14A8B3D64749780
SRR5501213,2018-06-01 00:02:52,2017-05-03 11:18:38,15409156,2287883811,15409156,148,982,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/501/SRR5501213.sralite.1,SRX2780665,#174-12-26 L003,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106335,PRJNA385301,,385301,SRS2163745,SAMN06886168,simple,51351,Brassica rapa subsp. pekinensis,#174-12-26,,,,,,,no,,,,,NIIGATA UNIVERSITY,SRA559392,,public,B9304738F09E64FF6E943379463C5F37,055C6809E9AF6E3F5060F4EBD31C1EF3
SRR5501214,2018-06-01 00:02:52,2017-05-03 11:18:45,16795781,2494499527,16795781,148,1060,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/501/SRR5501214.sralite.1,SRX2780666,#174-12-26 L002,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106335,PRJNA385301,,385301,SRS2163745,SAMN06886168,simple,51351,Brassica rapa subsp. pekinensis,#174-12-26,,,,,,,no,,,,,NIIGATA UNIVERSITY,SRA559392,,public,B47D3FF0E07EE39C0FB70979C5F784F5,3F38706BC9F7DB2F8FE8F2BD15E2666B
SRR5501215,2018-06-01 00:02:52,2017-05-03 11:19:33,16507936,2451472111,16507936,148,1037,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/501/SRR5501215.sralite.1,SRX2780667,#174-12-26 L001,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106335,PRJNA385301,,385301,SRS2163745,SAMN06886168,simple,51351,Brassica rapa subsp. pekinensis,#174-12-26,,,,,,,no,,,,,NIIGATA UNIVERSITY,SRA559392,,public,AD3B4417105E785BB255CA0E27BC0D97,00E43F53716754391975ADA6EC54D7CB
SRR14340669,2021-04-28 11:16:02,2021-04-28 11:08:14,48048888,14381575123,48048888,299,4796,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14340/SRR14340669/SRR14340669.lite.1,SRX10694579,FT,WGA,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316681,PRJNA725637,,725637,SRS8785949,SAMN18898263,simple,3711,Brassica rapa,0246-FT,,,,,,,no,,,,,SHENYANG AGRICULTURAL UNIVERSITY,SRA1224804,,public,95A2A03DFEAB813765363EF1F624766D,954DCC59490187F76F260DB5A96B11D3
SRR14340670,2021-04-28 11:08:56,2021-04-28 11:03:53,36401166,10920349800,36401166,300,3441,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14340/SRR14340670/SRR14340670.lite.1,SRX10694578,0246,WGA,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP316681,PRJNA725637,,725637,SRS8785949,SAMN18898263,simple,3711,Brassica rapa,0246-FT,,,,,,,no,,,,,SHENYANG AGRICULTURAL UNIVERSITY,SRA1224804,,public,A20A708E49D7F6350D61C2947394E744,3F1F4F6F2B3FBCF720212ED1186CD02C
SRR18233050,2022-09-25 19:45:34,2022-03-14 00:07:58,88597474,26546150923,88597474,299,8491,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18233/SRR18233050/SRR18233050.lite.1,SRX14374493,1,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP362563,PRJNA812728,,812728,SRS15233978,SAMN26426610,simple,3711,Brassica rapa,0450-FT,,,,,,,no,,,,,SHENYANG AGRICULTURAL UNIVERSITY,SRA1381207,,public,9E6A702B3195288129930D755717EB17,D34BF0335278FE32B2E0A752E33B58A2
SRR6453818,2019-04-01 00:27:25,2019-05-22 08:41:13,13078450,3878594021,13078450,296,1641,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453818.sralite.1,SRX3544361,1001_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817550,SAMN08321430,simple,3711,Brassica rapa,1001,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,BD63C20F8DAE8F2F2B3702B031E38C9A,3C561D513E8E2E3B8657AFD7ECD51F97
SRR6453819,2019-04-01 00:27:25,2019-05-22 08:37:19,9825073,2926806593,9825073,297,1174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453819.sralite.1,SRX3544360,1002_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817548,SAMN08321431,simple,3711,Brassica rapa,1002,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,173C3318614A0036EE03ABF333A542D1,FB14BE1204B406C6E2DA513A3C45FBE4
SRR6453837,2019-04-01 00:27:24,2019-06-10 15:13:11,8041976,2361230808,8041976,293,981,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453837.sralite.1,SRX3544342,1003_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817533,SAMN08321432,simple,3711,Brassica rapa,1003,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,64478CB1D629A84AC668D163665D06CE,8EAE72894064E497742B1EACFFCF6A0A
SRR6453836,2019-04-01 00:27:24,2019-06-10 15:15:43,8734349,2569074695,8734349,294,1064,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453836.sralite.1,SRX3544343,1005_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817536,SAMN08321433,simple,3711,Brassica rapa,1005,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,6B0851E3D40C0C52E0979237E60CEE1E,860B14812FEFE983B5479728B12AAD82
SRR17592865,2022-01-12 22:40:47,2022-01-12 22:00:12,12889318,2457831864,12360704,190,1316,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17592/SRR17592865/SRR17592865.lite.1,SRX13761732,10071_GENOMIC,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP354760,PRJNA796624,,796624,SRS11641917,SAMN24905106,simple,3711,Brassica rapa,10071,,,,,,,no,,,,,KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY,SRA1356001,,public,CB7499E148596D51E35613587AD735EB,5BBCDDDB1792F6991BBA4B520AB77CAD
SRR17592904,2022-01-12 22:40:47,2022-01-12 21:59:38,11356911,2156044474,10774051,189,1177,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR017/17592/SRR17592904/SRR17592904.lite.1,SRX13761693,10073_GENOMIC,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP354760,PRJNA796624,,796624,SRS11641879,SAMN24905062,simple,3711,Brassica rapa,10073,,,,,,,no,,,,,KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY,SRA1356001,,public,9A0E7A2253CFAF31A9B80ED5996203B0,6463E643997E022E9C28B28A2765F772
SRR6453839,2019-04-01 00:27:24,2019-06-10 15:14:22,8342693,2454537570,8342693,294,1024,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453839.sralite.1,SRX3544340,1008_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817532,SAMN08321434,simple,145471,Brassica rapa subsp. oleifera,1008,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,EE6BAFF4DA61E4D31D4007F08D3E6489,949FF13E36AEFB86CCE37928E9485B82
SRR5247830,2017-02-18 04:06:03,2017-02-12 13:31:03,1752585,137422241,0,78,60,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/247/SRR5247830.sralite.1,SRX2554018,250495799,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971698,SAMN06323668,simple,3711,Brassica rapa,100:C6NNTANXX:2:250495799,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,415489A1B272517AE763E55096DE10C0,5EB94B93817CD39C4F71AC962B9B598E
SRR6453701,2019-04-01 00:27:28,2019-05-22 08:25:28,10824175,3206662460,10824175,296,1353,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453701.sralite.1,SRX3544478,1010_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817641,SAMN08321435,simple,51351,Brassica rapa subsp. pekinensis,1010,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,877EDEF9755B3D5199BC250F9C4BCDC4,255BCC1E59EAB4871F42CC5A1A6C1C7A
SRR6453833,2019-04-01 00:27:24,2019-06-10 15:15:03,10733259,3169655765,10733259,295,1332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453833.sralite.1,SRX3544346,1012_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817537,SAMN08321436,simple,51351,Brassica rapa subsp. pekinensis,1012,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,D326A5BCB69D03FCEC52B01D87748109,7878176F92B8E59ABF21283E955FEF26
SRR6453832,2019-04-01 00:27:25,2019-05-22 08:57:52,15513782,4579501775,15513782,295,1935,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453832.sralite.1,SRX3544347,1013_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817538,SAMN08321437,simple,145471,Brassica rapa subsp. oleifera,1013,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,39399B94AC91F2E44286ACE70B4D054C,5B6E5D7507440810E263D3A2851E729D
SRR6453835,2019-04-01 00:27:24,2019-05-22 09:12:44,10635884,3163474281,10635884,297,1306,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453835.sralite.1,SRX3544344,1014_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817535,SAMN08321438,simple,145471,Brassica rapa subsp. oleifera,1014,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,1C6A88234901BE8A06F85BC6D1B1389A,C69B1CB0C18BDC9C324CAA5D3B221A3C
SRR6453834,2019-04-01 00:27:24,2019-06-10 15:14:05,8649185,2545986805,8649185,294,1050,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453834.sralite.1,SRX3544345,1016_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817534,SAMN08321440,simple,51351,Brassica rapa subsp. pekinensis,1016,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,46B980696D75B88935E54BE05008A634,4AA6E30272411A73B5350A765CC35057
SRR5248128,2017-02-18 04:06:08,2017-02-12 13:34:29,1684247,126605271,0,75,58,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/248/SRR5248128.sralite.1,SRX2554316,250495912,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971995,SAMN06323370,simple,3711,Brassica rapa,101:C6NNTANXX:3:250495912,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,D2AB609A6B7AC1DCC156072864F5CAB5,EE4DD57DE3945BA3C21489A464790033
SRR6453831,2019-04-01 00:27:25,2019-05-22 09:12:21,13734086,4067465397,13734086,296,1711,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453831.sralite.1,SRX3544348,1020_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817540,SAMN08321441,simple,51351,Brassica rapa subsp. pekinensis,1020,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,690975142FDC92C047B9160D221F11DC,A2AB38E05E93324A4899A69AFAB66C01
SRR6453830,2019-04-01 00:27:25,2019-05-22 08:40:14,10005373,2965808837,10005373,296,1247,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453830.sralite.1,SRX3544349,1021_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817539,SAMN08321442,simple,3711,Brassica rapa,1021,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,568D87FA5E7B94C9FACF7E72EBA58A5C,B1C97E146D7AC3BFDC7272F9BF0AB038
SRR6453667,2019-04-01 00:27:29,2019-05-22 09:08:31,8576786,2522469743,8576786,294,1042,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453667.sralite.1,SRX3544512,1024_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817676,SAMN08321443,simple,3711,Brassica rapa,1024,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,EE86F02C7AC4ED6C93EC56D721F02839,DE51465B3534C52D5BDA934631513D6B
SRR6453668,2019-04-01 00:27:29,2019-05-22 08:23:19,9179180,2733884213,9179180,297,1122,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453668.sralite.1,SRX3544511,1028_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817674,SAMN08321444,simple,3711,Brassica rapa,1028,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,E87D665938E47E7D728B4D4159F4E363,FDF282B6559C9F796D375AAAA4E71214
SRR6453665,2019-04-01 00:27:29,2019-05-22 07:58:46,7731639,2266802210,7731639,293,953,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453665.sralite.1,SRX3544514,1029_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817678,SAMN08321445,simple,3711,Brassica rapa,1029,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,B97D69AE44DF6B9CD191FDBA9B7161B8,C3EB5878E918D06240ACD7DF3DDA244A
SRR5248125,2017-02-18 04:06:08,2017-02-12 13:33:58,1637663,127019798,0,77,58,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/248/SRR5248125.sralite.1,SRX2554313,250495891,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971993,SAMN06323373,simple,3711,Brassica rapa,102:C6NNTANXX:3:250495891,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,D17B5A29DB36AA12029150186C9C9091,A2227481423EC52BD1C1F62991605A87
SRR6453666,2019-04-01 00:27:29,2019-05-22 08:25:15,9839576,2925166990,9839576,297,1219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453666.sralite.1,SRX3544513,1031_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817677,SAMN08321446,simple,3711,Brassica rapa,1031,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,50FC2B41137ECE808608C7F4E37D3476,AEDF1984580BFD3782E1A1F6691985C9
SRR6453663,2019-04-01 00:27:29,2019-05-22 08:23:19,10477129,3120709794,10477129,297,1266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453663.sralite.1,SRX3544516,1034_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817680,SAMN08321447,simple,3711,Brassica rapa,1034,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,76453A00876482C96A03B8B5E9460B2B,4516A48CD761CFC02B7D01FE43AB598B
SRR6453664,2019-04-01 00:27:29,2019-05-22 08:23:21,9215390,2755712123,9215390,299,1132,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453664.sralite.1,SRX3544515,1036_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817679,SAMN08321448,simple,3711,Brassica rapa,1036,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,76933DDD7F8F10C0DE6053074848BBCB,90B0485FB16101932488DF19072CA8F9
SRR6453661,2019-04-01 00:27:29,2019-05-22 08:24:32,9086144,2675596875,9086144,294,1111,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453661.sralite.1,SRX3544518,1037_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817682,SAMN08321449,simple,3711,Brassica rapa,1037,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,5FFA062830FA5472836D14C29C78282A,74C1C8B7669A1F2F9255023596D8A683
SRR5247781,2017-02-18 04:06:02,2017-02-12 13:28:55,1774612,139526609,0,78,64,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/247/SRR5247781.sralite.1,SRX2553969,250495903,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971649,SAMN06323717,simple,3711,Brassica rapa,103:C6NNTANXX:3:250495903,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,AD58046A0EC402F8A13CF410F8CF253D,2E5DACC08BD85268A277DA8A85670834
SRR6453662,2019-04-01 00:27:29,2019-05-22 08:01:05,9661497,2852875560,9661497,295,1171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453662.sralite.1,SRX3544517,1040_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817681,SAMN08321450,simple,3711,Brassica rapa,1040,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,358A555AC1ADE9B0A40040BEF70F17AD,F5EE03550155D0ADC58CE2DD34AB0CB6
SRR6453659,2019-04-01 00:27:29,2019-05-22 09:08:52,9493335,2808056419,9493335,295,1169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453659.sralite.1,SRX3544520,1041_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817684,SAMN08321451,simple,3711,Brassica rapa,1041,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,97F4A92D2AC5757AB78A48E9C39C25FE,DF906205923CDFC16DA4F584D872E749
SRR6453660,2019-04-01 00:27:29,2019-05-22 08:01:31,10873065,3220067200,10873065,296,1366,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/453/SRR6453660.sralite.1,SRX3544519,1042_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817683,SAMN08321452,simple,3711,Brassica rapa,1042,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,68B4742F65B42BD029A691D30690E24A,A7E43BA407274291BA45B2C078FD3468
SRR6453856,2019-04-01 00:27:24,2019-06-10 15:15:21,11121043,3272376425,11121043,294,1355,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453856.sralite.1,SRX3544323,1043_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817515,SAMN08321453,simple,3711,Brassica rapa,1043,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,D7BD88A9CA1C90D190924D60403E8F52,CEEA8055161CE5C28BCBBC19BD6EFEE4
SRR6453857,2019-04-01 00:27:24,2019-05-22 08:42:01,10868384,3240190259,10868384,298,1300,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453857.sralite.1,SRX3544322,1044_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817514,SAMN08321454,simple,3711,Brassica rapa,1044,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,40151C969EF9453520A4D0BEA19C954D,B6D4387D22BCAC05558F446A1B5C84DF
SRR6453858,2019-04-01 00:27:24,2019-05-22 08:41:22,9737591,2866807910,9737591,294,1164,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453858.sralite.1,SRX3544321,1045_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817513,SAMN08321455,simple,3711,Brassica rapa,1045,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,B3BE65BC8D289DBCFD0EFC8687BF56E5,DADAE3F7B38950951C244BF0A6DF761A
SRR6453859,2019-04-01 00:27:24,2019-05-22 08:41:47,8661403,2571752402,8661403,296,1062,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453859.sralite.1,SRX3544320,1046_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817512,SAMN08321456,simple,3711,Brassica rapa,1046,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,7C84815E58F8C4D4936C0DE9A5DC98DB,D52C1894AD7BA1AF4FC83CC0576F4980
SRR6453852,2019-04-01 00:27:24,2019-05-22 08:40:51,9955657,2961245498,9955657,297,1210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453852.sralite.1,SRX3544327,1048_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817519,SAMN08321457,simple,3711,Brassica rapa,1048,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,19EE1DC3016A84E2D9FA31923DDF356C,8F4B2453E1F1ADB9BE2FE2584A20120C
SRR5247811,2017-02-18 04:06:02,2017-02-12 13:30:41,1995639,157430546,0,78,72,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/247/SRR5247811.sralite.1,SRX2553999,250495876,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971679,SAMN06323687,simple,3711,Brassica rapa,104:C6NNTANXX:3:250495876,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,CF5115C3979BF7AE5FFDF237606889F7,AD876E610D9C90B6EEBA8DB2E54BB137
SRR6453853,2019-04-01 00:27:24,2019-06-10 15:21:00,10470558,3102048088,10470558,296,1324,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453853.sralite.1,SRX3544326,1051_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817518,SAMN08321458,simple,3711,Brassica rapa,1051,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,381F7A67AE6168A3C248639C91F6C41C,2FE7CF9C6271DD8DFA31D276EECD27ED
SRR6453854,2019-04-01 00:27:24,2019-06-10 15:15:25,10379930,3057227926,10379930,294,1265,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453854.sralite.1,SRX3544325,1052_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817517,SAMN08321459,simple,3711,Brassica rapa,1052,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,FC9FA06950E924B5D2E4CD67DA88A8FC,8C116BE4629C0163C03FB097B22C9130
